simulation,calendar_year,calendar_week,thermal_generation_gwh,thermal_peak_block_mw
11,2026,36,85.64000000000001,833.0
11,2026,37,73.67838883576292,718.2786601014277
11,2026,38,66.85246560670471,493.6232803352354
11,2026,39,64.97494277926941,418.99713896347043
11,2026,40,65.84312053305842,443.15602665292135
11,2026,41,64.68,385.0
11,2026,42,31.976445876023995,385.0
11,2026,43,64.68,385.0
11,2026,44,64.68,385.0
11,2026,45,18.48,110.0
11,2026,46,1.42,71.0
11,2026,47,2.660354101806016,133.0177050903008
11,2026,48,29.49737745146583,253.8688725732915
11,2026,49,65.39126007349307,420.56300367465377
11,2026,50,64.68,385.0
11,2026,51,64.68,385.0
12,2025,52,0.0,0.0
12,2026,1,0.0,0.0
12,2026,2,8.53380292346981,264.27397048858614
12,2026,3,13.392785393669854,339.6905757125527
12,2026,4,14.943158081179977,385.0
12,2026,5,30.8,385.0
12,2026,6,17.151115393522637,385.0
12,2026,7,23.368830914789214,385.0
12,2026,8,28.631735054053983,385.0
12,2026,9,12.271253044909429,240.19729667462934
12,2026,10,0.038655919456122706,1.9327959728061352
12,2026,11,1.0149222231556816,50.746111157784085
12,2026,12,10.201972142654206,370.72863192400956
12,2026,13,31.587547448405022,424.377372420251
12,2026,14,3.043294208033825,152.16471040169125
12,2026,15,30.8,385.0
12,2026,16,13.406407025034724,385.0
12,2026,17,25.159584956413912,385.0
12,2026,18,36.8,685.0
12,2026,19,74.80566167284098,919.3255487225248
12,2026,20,70.2740909244836,664.7045462241797
12,2026,21,72.13257182595086,757.6285912975427
12,2026,22,70.6010693031685,681.0534651584248
12,2026,23,75.30362890742647,916.1814453713234
12,2026,24,75.07733998950872,904.8669994754358
12,2026,25,72.42578356977026,772.2891784885128
12,2026,26,72.83050863000798,792.525431500399
12,2026,27,85.58044520005905,1120.9097165863177
12,2026,28,74.56629845119949,879.3149225599741
12,2026,29,69.71029097894919,636.5145489474596
12,2026,30,77.64670253387885,1033.3351266939424
12,2026,31,78.19789039917808,1011.1043829753364
12,2026,32,86.91355660899887,1164.709320346354
12,2026,33,74.71361221950113,886.6806109750564
12,2026,34,73.67845415450893,834.9227077254466
12,2026,35,69.25260369186873,613.6301845934364
12,2026,36,73.27228602054106,814.6143010270524
12,2026,37,73.64000000000001,833.0
12,2026,38,68.97251113597684,599.6255567988417
12,2026,39,67.67161155398985,553.8305776994926
12,2026,40,71.96233153281747,653.4014092052253
12,2026,41,67.60880437871637,531.440218935818
12,2026,42,64.77347441339046,389.67372066952254
12,2026,43,47.89933598207709,385.0
12,2026,44,53.06618661078541,385.0
12,2026,45,26.120745478537657,321.0372739268828
12,2026,46,6.432644972884841,108.63224864424205
12,2026,47,0.668360570116153,33.41802850580765
12,2026,48,29.837461042273826,270.8730521136913
12,2026,49,64.68,385.0
12,2026,50,80.68,585.0
12,2026,51,74.94209669726855,585.0
13,2025,52,0.0,0.0
13,2026,1,0.0,0.0
13,2026,2,0.0,0.0
13,2026,3,0.0,0.0
13,2026,4,0.0,0.0
13,2026,5,2.7334332976297806,136.67166488148902
13,2026,6,0.0,0.0
13,2026,7,0.0,0.0
13,2026,8,31.9291621274596,441.4581063729798
13,2026,9,9.52388752365826,219.54616598282956
13,2026,10,0.0,0.0
13,2026,11,3.6916675173792375,184.58337586896187
13,2026,12,24.335806405363215,436.3635058216753
13,2026,13,9.677645996306742,359.19133128638146
13,2026,14,0.0,0.0
13,2026,15,5.968331947235755,298.4165973617877
13,2026,16,29.30624981124913,385.0
13,2026,17,51.94456071753581,385.0
13,2026,18,76.22515985585555,716.339691855304
13,2026,19,72.81450091508631,838.6723161397549
13,2026,20,60.53230435356136,585.4038488941878
13,2026,21,71.7137332725571,736.6866636278555
13,2026,22,68.68234881669237,585.1174408346182
13,2026,23,72.64502336384933,783.2511681924659
13,2026,24,75.49694285579687,925.8471427898432
13,2026,25,75.41994950409631,921.9974752048147
13,2026,26,73.61741429242738,831.8707146213685
13,2026,27,94.46104981616304,1151.5300628944597
13,2026,28,77.29636451678583,1015.8182258392914
13,2026,29,84.50758421825134,924.3071215434876
13,2026,30,97.28804125335746,1161.1365483260101
13,2026,31,92.00023757419899,1151.011878709949
13,2026,32,91.09557718122122,1105.7788590610603
13,2026,33,85.06865979685003,919.7434669638487
13,2026,34,78.9471894258597,833.0
13,2026,35,68.68,585.0
13,2026,36,68.68632598460658,585.3162992303294
13,2026,37,70.91058557768739,696.529278884369
13,2026,38,64.68,385.0
13,2026,39,30.8,385.0
