simulation,calendar_year,calendar_week,stage,stored_energy_gwh,thermal_generation_gwh,thermal_peak_block_mw,thermal_positive,stored_energy_gwh_within_week,thermal_generation_gwh_within_week,thermal_peak_block_mw_within_week
84,2026,9,10,3478.734757,31.52903667938922,421.4518339694608,True,172.86175567032979,-7.234735284133155,-0.7734716595264786
84,2026,10,11,3407.309137,30.8,385.0,True,136.51742542857164,-7.160573038881299,9.045428532994606
84,2026,11,12,3275.868449,71.49695045465106,582.0,True,39.44011959340651,10.13107786805454,22.915119432343317
84,2026,12,13,3386.362082,53.03224338775392,559.5422000336418,True,214.16424292307693,-15.536833615771542,-108.41826542407682
84,2026,13,14,3396.04024,51.779541284093625,385.0,True,249.63923451648316,-16.61594370650495,-224.84823738394584
84,2026,14,15,3320.152921,62.76725326265578,385.0,True,207.0793486263733,-6.581119621091311,-217.80262392522513
84,2026,15,16,3303.033603,67.85651620458401,543.8258102292006,True,232.60444402197754,-10.63049706403875,-169.52518321307616
84,2026,16,17,3190.901359,89.18283936313014,820.0,True,142.75247750549397,9.702268621099222,62.79416633641779
84,2026,17,18,3039.066094,89.36973208875557,833.0,True,-0.07494700000052035,8.381931738959153,83.22809309934553
84,2026,18,19,2961.589495,117.73718117553042,1307.579187602527,True,-32.33604093406575,15.392515867161691,285.45429874687295
84,2026,19,20,3045.178748,104.65119211609723,1313.0,True,100.54033106593397,7.338418265115209,171.6929821114452
84,2026,20,21,3256.835533,32.198662911406835,454.9331455703416,True,354.04687085714295,-40.90452500377517,-338.4213234934449
84,2026,21,22,3285.809722,54.914547343183855,558.0465855722312,True,450.06941938461523,-18.218627347336096,-228.4232374958135
84,2026,22,23,3276.132533,64.36557560407319,385.0,True,488.77721859340636,-6.361879394422573,-271.4096736067621
84,2026,23,24,3075.725768,72.2313249217963,762.5662460898146,True,382.044826263736,-5.3546946398812025,-32.781995137818626
84,2026,24,25,3234.173625,68.69767261196978,585.8836305984892,True,631.8636071978021,-7.468643140182905,-192.83942765223605
84,2026,25,26,3277.715741,71.18257388631181,710.1286943155905,True,793.6274213626375,-8.37437440179734,-148.1735800872923
84,2026,26,27,3328.167062,58.84189141726549,477.056462054163,True,950.9200049340657,-19.84414835459644,-333.14933917944023
84,2026,27,28,3145.051094,75.0296756776743,902.483783883715,True,898.9895979670328,-12.246192324659631,-136.28556641954629
84,2026,28,29,3143.515253,73.54898430942382,828.4492154711905,True,1033.9524209010988,-9.849844856833982,-128.99490154269495
84,2026,29,30,3180.219392,36.08628630783346,649.3143153916728,True,1199.0263393186813,-44.55997502179581,-214.53580101524938
84,2026,30,31,3229.122741,26.68876798627434,694.8312864784909,True,1398.5117879560441,-59.41736264021826,-349.0712394207774
84,2026,31,32,3152.148182,30.70030644849755,667.5048687145514,True,1458.4610986043954,-57.59231268583837,-388.1486022080129
84,2026,32,33,2983.010329,39.5689730916496,921.8341330111346,True,1422.2101595274726,-54.576291655681594,-273.22646683505855
84,2026,33,34,2774.049149,38.82951306184016,786.4756530920082,True,1309.2665067692308,-42.84200201941772,-81.38475163341502
84,2026,34,35,2573.237633,29.10420047377305,776.2636839922707,True,1228.6931939120882,-49.929252415963674,-67.43246752293942
84,2026,35,36,2411.686164,9.484465214736575,474.2232607368288,True,1162.519374989011,-62.02905116901579,-188.19360019275905
84,2026,36,37,2315.925194,10.921259400733891,506.9408399772916,True,1137.3553429010988,-61.59656309084198,-216.11975194133402
84,2026,37,38,2127.388532,25.145973346682894,641.3545453122642,True,944.9934427472526,-47.30930987300542,-115.6745019149256
84,2026,38,39,2064.765706,7.7,385.0,True,883.503107857143,-57.604514000810255,-172.85554862189838
84,2026,39,40,1973.298452,30.8,385.0,True,780.0456400659341,-30.469690515765553,-123.73670361776448
84,2026,40,41,1879.696154,17.994180101506576,385.0,True,640.121226956044,-44.15378546917988,-131.4377845615668
84,2026,41,42,1941.139002,5.10116058233628,255.058029116814,True,620.5949636483515,-48.51667039182317,-145.7445122293759
84,2026,42,43,2129.738727,30.8,385.0,True,724.4117487142857,-24.091738624057097,-18.72103550268008
84,2026,43,44,2106.189363,1.0614029141620287,53.07014570810144,True,610.2427996703295,-51.26055737041695,-323.06404031638596
84,2026,44,45,2101.87253,42.76176878006774,385.0,True,489.5657994285714,-8.311352569585338,6.000510637697516
84,2026,45,46,2100.294526,18.48,110.0,True,406.1930300109891,-5.925500731988752,-104.82004856381761
84,2026,46,47,2287.628291,0.0,0.0,False,511.8040729780221,-12.198181147612608,-126.85370627526908
84,2026,47,48,2413.985183,0.0,0.0,False,580.9922579120878,-14.056686759344725,-134.46650790755115
84,2026,48,49,2629.48984,0.0,0.0,False,714.0173495164836,-32.04914331541466,-243.0198260749551
84,2026,49,50,2625.23189,30.8,385.0,True,599.3913750219781,-24.901844818121024,-30.92628361157341
84,2026,50,51,2715.609417,30.8,385.0,True,596.8191473626375,-26.325050635673296,-49.36710116397836
84,2026,51,52,2883.017894,30.8,385.0,True,629.9482952747253,-24.458727854069867,-57.511080998561624
85,2025,52,1,3730.919661,0.0,0.0,False,7.973945219780489,0.0,0.0
85,2026,1,2,3737.232348,0.0,0.0,False,17.09248513186776,0.0,0.0
85,2026,2,3,3656.469157,2.488611194349394,124.43055971746968,True,-17.619249120878976,0.32509935552928626,62.68963288304417
85,2026,3,4,3718.83211,6.848879760581252,256.5285074812972,True,92.9059475494505,-4.539931958698953,4.01888630433524
85,2026,4,5,3754.315665,4.768705618187237,238.43528090936184,True,169.72926287912105,-10.013897881209095,-53.955651640267774
85,2026,5,6,3740.503994,6.360467634046389,318.0233817023194,True,192.19470112087947,-12.999720070108095,-19.643009868285333
85,2026,6,7,3729.236335,4.8572011976500455,242.86005988250227,True,237.1400298241756,-14.522395343826165,-57.261355379983826
85,2026,7,8,3753.319699,1.0799182762048758,53.99591381024379,True,328.0847649230768,-23.178814349226737,-250.26398139575684
85,2026,8,9,3705.590427,30.9604026781896,393.0201339094799,True,318.29678458241733,-12.816488961540859,-115.53077459708982
85,2026,9,10,3514.593549,30.8,385.0,True,208.72054767032978,-7.9637719635223725,-37.22530562898726
85,2026,10,11,3331.069238,33.19570623233181,385.0,True,60.27752642857149,-4.764866806549492,9.045428532994606
85,2026,11,12,3224.260672,45.66667103810915,466.3929023312805,True,-12.167657406593662,-15.699201548487366,-92.6919782363762
85,2026,12,13,3020.982237,88.11939004057226,782.0,True,-151.215602076923,19.55031303704679,114.03953454228133
85,2026,13,14,2988.503951,88.0773185078971,832.0,True,-157.8970544835165,19.68183351729853,222.15176261605416
85,2026,14,15,2997.052824,88.54939290113066,757.0,True,-116.0207483736267,19.20102001738357,154.19737607477487
85,2026,15,16,3060.436194,85.95369691394066,764.0,True,-9.992964978022428,7.4666836453179,50.64900655772328
85,2026,16,17,3051.758423,85.38,820.0,True,3.609541505494235,5.899429257969075,62.79416633641779
85,2026,17,18,2937.892988,100.91887710556348,852.943855278173,True,-101.24805300000025,19.931076755767066,103.17194837751856
85,2026,18,19,2957.251928,106.86284946184917,1140.4445426115765,True,-36.673607934065785,4.5181841534804335,118.31965375592233
85,2026,19,20,2897.854309,105.91898073169722,1313.0,True,-46.784107934066014,8.606206880715192,171.6929821114452
85,2026,20,21,2802.655051,71.21329790511774,711.6648952558863,True,-100.13361114285681,-1.8898900100642635,-81.68957380790016
85,2026,21,22,2637.164565,73.64000000000001,833.0,True,-198.5757376153847,0.5068253094800639,46.53017693195534
85,2026,22,23,2465.199262,84.87047675127559,831.0989439832238,True,-322.1560524065935,14.14302175277983,174.68927037646165
85,2026,23,24,2221.472378,103.09161274503438,961.5806372517188,True,-472.20856373626384,25.50559318335688,166.23239602408557
85,2026,24,25,2030.176163,77.91280436853738,933.1248924682308,True,-572.1338548021977,1.7464886163846955,154.40183421750555
85,2026,25,26,1820.65233,89.08361022253456,1005.1805111267274,True,-663.4359896373626,9.526661934425405,146.87823672384468
85,2026,26,27,1648.984418,92.11539977714422,1083.3060073660115,True,-728.2626390659343,13.429360005282291,273.1002061324083
85,2026,27,28,1497.29208,92.89342530313564,1133.278240888483,True,-748.7694160329672,5.617557300801707,94.5088905852217
85,2026,28,29,1328.830065,110.09227931469324,1311.6139657346616,True,-780.7327670989011,26.693450148435446,354.16984872077614
85,2026,29,30,1256.628085,96.9060199973859,887.4593491525666,True,-724.5649676813186,16.25975866775663,23.609232745644363
85,2026,30,31,1213.008528,88.14637624679847,958.3188123399228,True,-617.6024250439559,2.0402456203058676,-85.58371355934548
85,2026,31,32,1050.850817,92.51276012750164,1128.0149141441825,True,-642.8362663956045,4.220140993165714,72.36144322161817
85,2026,32,33,1064.532338,91.99901840428478,1116.336731409595,True,-496.26783147252763,-2.146246343046414,-78.7238684365982
85,2026,33,34,1240.689767,72.68,785.0,True,-224.0928752307691,-8.991515081257873,-82.86040472542322
85,2026,34,35,1203.302508,71.41263581980289,721.6317909901443,True,-141.241931087912,-7.620817069933835,-122.06436052506581
85,2026,35,36,1188.368383,45.5656905584686,423.1110150764428,True,-60.79840601098908,-25.947825825283758,-239.30584585314506
85,2026,36,37,1203.207062,34.41797431336638,565.8987156683189,True,24.637210901098797,-38.09984817820949,-157.1618762503067
85,2026,37,38,1390.143085,31.8386327488521,436.9316374426048,True,207.74799574725262,-40.61665047083621,-320.097409784585
85,2026,38,39,1585.667831,30.8,385.0,True,404.4052328571429,-34.50451400081026,-172.85554862189838
85,2026,39,40,1904.416447,7.7,385.0,True,711.1636350659342,-53.56969051576555,-123.73670361776448
85,2026,40,41,1909.17235,24.77646805114364,385.0,True,669.597422956044,-37.371497519542814,-131.4377845615668
85,2026,41,42,1932.534193,13.710314691808303,385.0,True,611.9901546483516,-39.90751628235114,-15.802541346189912
85,2026,42,43,1886.29509,30.8,385.0,True,480.9681117142859,-24.091738624057097,-18.72103550268008
85,2026,43,44,1828.610074,30.8,385.0,True,332.6635106703295,-21.521960284578977,8.865813975512594
85,2026,44,45,1846.564236,63.90224580480124,385.0,True,234.25750542857122,12.829124455148161,6.000510637697516
85,2026,45,46,2008.826311,17.263754533302674,110.0,True,314.724815010989,-7.141746198686079,-104.82004856381761
85,2026,46,47,1921.705073,0.0,0.0,False,145.88085497802217,-12.198181147612608,-126.85370627526908
85,2026,47,48,1810.99473,0.0,0.0,False,-21.99819508791211,-14.056686759344725,-134.46650790755115
85,2026,48,49,1769.439943,27.72,165.0,True,-146.0325474835165,-4.329143315414662,-78.01982607495509
85,2026,49,50,1749.938657,64.68,385.0,True,-275.901857978022,8.978155181878982,-30.92628361157341
85,2026,50,51,1763.959365,66.7356514933638,487.78257466819,True,-354.83090463736266,9.610600857690507,53.41547350421166
85,2026,51,52,1695.743097,100.52,833.0,True,-557.3265017252747,45.26127214593013,390.4889190014384
86,2025,52,1,3562.48215,0.0,0.0,False,-160.4635657802196,0.0,0.0
86,2026,1,2,3553.882551,0.0,0.0,False,-166.2573118681321,0.0,0.0
86,2026,2,3,3482.287615,0.1056843027151287,5.284215135756439,True,-191.80079112087878,-2.057827536104979,-56.45671169866907
