date,series_type,plant_group,site_code,site,island_code,flow_type,flow_m3s,volume_mm3_day,quality_code,source_file
1980-01-19,spill,Waitaki river,OHA,Lake Ohau to Ruataniwha via Ohau River,SI,Spill/release,0.0,0.0,200,SI_OHA_Spill_LakeOhau.csv
1980-01-19,spill,Waitaki river,PKI,Lake Pukaki to Benmore via Pukaki River,SI,Spill/release,462.07175925925924,39.923,200,SI_PKI_Spill_LakePukaki.csv
1980-01-19,spill,Manapouri,TAU,Lake Te Anau outflow/spill,SI,Spill/release,493.94675925925924,42.677,200,SI_TAU_Spill_LakeTeAnau.csv
1980-01-19,spill,Waitaki river,TKA,Lake George Scott to Benmore via Tekapo River,SI,Spill/release,190.55555555555554,16.464,200,SI_TKA_Spill_LakeGeorgeScottTekapoRiver.csv
1980-01-19,spill,Waitaki river,TKA,Lake Tekapo Gate 17 to Pukaki via Tekapo Canal,SI,Spill/release,5.1157407407407405,0.442,200,SI_TKA_Spill_LakeTekapoGate17.csv
1980-01-19,spill,Waikato river,TPO,Lake Taupo outflow/spill,NI,Spill/release,180.09259259259258,15.56,200,NI_TPO_Spill_LakeTaupo.csv
1980-01-20,spill,Clutha,HWE,Lake Hawea outflow/spill,SI,Spill/release,16.62037037037037,1.436,200,SI_HWE_Spill_LakeHawea.csv
1980-01-20,spill,Manapouri,MAN,Manapouri spill,SI,Spill/release,227.21064814814815,19.631,200,SI_MAN_Spill_LakeManapouri.csv
1980-01-20,spill,Waitaki river,OHA,Lake Ohau to Ruataniwha via Ohau River,SI,Spill/release,0.0,0.0,200,SI_OHA_Spill_LakeOhau.csv
1980-01-20,spill,Waitaki river,PKI,Lake Pukaki to Benmore via Pukaki River,SI,Spill/release,400.9953703703704,34.646,200,SI_PKI_Spill_LakePukaki.csv
1980-01-20,spill,Manapouri,TAU,Lake Te Anau outflow/spill,SI,Spill/release,507.95138888888886,43.887,200,SI_TAU_Spill_LakeTeAnau.csv
1980-01-20,spill,Waitaki river,TKA,Lake George Scott to Benmore via Tekapo River,SI,Spill/release,164.79166666666666,14.238,200,SI_TKA_Spill_LakeGeorgeScottTekapoRiver.csv
1980-01-20,spill,Waitaki river,TKA,Lake Tekapo Gate 17 to Pukaki via Tekapo Canal,SI,Spill/release,25.300925925925924,2.186,200,SI_TKA_Spill_LakeTekapoGate17.csv
1980-01-20,spill,Waikato river,TPO,Lake Taupo outflow/spill,NI,Spill/release,160.76388888888889,13.89,200,NI_TPO_Spill_LakeTaupo.csv
1980-01-21,spill,Clutha,HWE,Lake Hawea outflow/spill,SI,Spill/release,21.805555555555554,1.884,200,SI_HWE_Spill_LakeHawea.csv
1980-01-21,spill,Manapouri,MAN,Manapouri spill,SI,Spill/release,271.400462962963,23.449,200,SI_MAN_Spill_LakeManapouri.csv
1980-01-21,spill,Waitaki river,OHA,Lake Ohau to Ruataniwha via Ohau River,SI,Spill/release,0.0,0.0,200,SI_OHA_Spill_LakeOhau.csv
