date,plant_group,site_code,reservoir,island_code,lake_level_m,active_storage_mm3,contingent_storage_mm3,total_storage_mm3,quality_code,source_file
1980-01-12,Manapouri,MAN,Lake Manapouri,SI,177.964,291.449,,291.449,320,SI_MAN_Storage_LakeManapouri.csv
1980-01-12,Waitaki river,OHA,Lake Ohau,SI,519.229,0.0,,0.0,320,SI_OHA_Storage_LakeOhau.csv
1980-01-12,Waitaki river,PKI,Lake Pukaki,SI,532.415,2409.715,,2409.715,320,SI_PKI_Storage_LakePukaki.csv
1980-01-12,Manapouri,TAU,Lake Te Anau,SI,202.974,743.735,,743.735,320,SI_TAU_Storage_LakeTeAnau.csv
1980-01-12,Waitaki river,TKA,Lake Tekapo,SI,710.6,602.58,0.0,602.58,320,SI_TKA_Storage_LakeTekapo.csv
1980-01-12,Waikato river,TPO,Lake Taupo,NI,357.028,720.166,,720.166,320,NI_TPO_Storage_LakeTaupo.csv
1980-01-12,Clutha,WAN,Lake Wanaka,SI,277.594,423.641,,423.641,320,SI_WAN_Storage_LakeWanaka.csv
1980-01-12,Waikaremoana,WKA,Lake Waikaremoana,NI,583.131,149.145,,149.145,320,NI_WKA_Storage_LakeWaikaremoana.csv
1980-01-12,Clutha,WPU,Lake Wakatipu,SI,310.198,395.36,,395.36,320,SI_WPU_Storage_LakeWakatipu.csv
1980-01-13,Clutha,HWE,Lake Hawea,SI,346.297,2203.077,,2203.077,320,SI_HWE_Storage_LakeHawea.csv
1980-01-13,Manapouri,MAN,Lake Manapouri,SI,177.951,289.64,,289.64,320,SI_MAN_Storage_LakeManapouri.csv
1980-01-13,Waitaki river,OHA,Lake Ohau,SI,519.211,0.0,,0.0,320,SI_OHA_Storage_LakeOhau.csv
1980-01-13,Waitaki river,PKI,Lake Pukaki,SI,532.42,2410.71,,2410.71,320,SI_PKI_Storage_LakePukaki.csv
1980-01-13,Manapouri,TAU,Lake Te Anau,SI,202.895,715.923,,715.923,320,SI_TAU_Storage_LakeTeAnau.csv
1980-01-13,Waitaki river,TKA,Lake Tekapo,SI,710.551,597.688,0.0,597.688,320,SI_TKA_Storage_LakeTekapo.csv
1980-01-13,Waikato river,TPO,Lake Taupo,NI,357.028,719.902,,719.902,320,NI_TPO_Storage_LakeTaupo.csv
1980-01-13,Clutha,WAN,Lake Wanaka,SI,277.572,419.394,,419.394,320,SI_WAN_Storage_LakeWanaka.csv
1980-01-13,Waikaremoana,WKA,Lake Waikaremoana,NI,583.131,149.145,,149.145,320,NI_WKA_Storage_LakeWaikaremoana.csv
1980-01-13,Clutha,WPU,Lake Wakatipu,SI,310.189,392.493,,392.493,320,SI_WPU_Storage_LakeWakatipu.csv
1980-01-14,Clutha,HWE,Lake Hawea,SI,346.319,2206.425,,2206.425,320,SI_HWE_Storage_LakeHawea.csv
1980-01-14,Manapouri,MAN,Lake Manapouri,SI,177.892,281.478,,281.478,320,SI_MAN_Storage_LakeManapouri.csv
1980-01-14,Waitaki river,OHA,Lake Ohau,SI,519.204,0.0,,0.0,320,SI_OHA_Storage_LakeOhau.csv
1980-01-14,Waitaki river,PKI,Lake Pukaki,SI,532.428,2412.021,,2412.021,320,SI_PKI_Storage_LakePukaki.csv
1980-01-14,Manapouri,TAU,Lake Te Anau,SI,202.806,684.744,,684.744,320,SI_TAU_Storage_LakeTeAnau.csv
1980-01-14,Waitaki river,TKA,Lake Tekapo,SI,710.514,594.014,0.0,594.014,320,SI_TKA_Storage_LakeTekapo.csv
