date,fuel,generation_mwh
2020-04-13,Geothermal,21813.654
2020-04-13,Hydro,46542.556
2020-04-13,Liquid fuel,0.0
2020-04-13,Wind,10530.284
2020-04-13,Wood,700.121
2020-04-14,Gas,10000.305
2020-04-14,Geothermal,22268.623
2020-04-14,Hydro,57620.44
2020-04-14,Liquid fuel,0.0
2020-04-14,Wind,5871.583
2020-04-14,Wood,776.768
2020-04-15,Gas,11447.4
2020-04-15,Geothermal,22197.142
2020-04-15,Hydro,61776.332
2020-04-15,Liquid fuel,0.0
2020-04-15,Wind,3248.016
2020-04-15,Wood,762.34
2020-04-16,Gas,11155.776
2020-04-16,Geothermal,22123.23
2020-04-16,Hydro,56758.482
2020-04-16,Liquid fuel,0.0
2020-04-16,Wind,6941.044
2020-04-16,Wood,821.552
2020-04-17,Gas,10599.034
2020-04-17,Geothermal,21902.166
2020-04-17,Hydro,55536.864
2020-04-17,Liquid fuel,0.0
2020-04-17,Wind,8428.067
2020-04-17,Wood,666.32
2020-04-18,Gas,9203.952
2020-04-18,Geothermal,21794.262
2020-04-18,Hydro,49032.948
2020-04-18,Liquid fuel,0.0
2020-04-18,Wind,10156.016
2020-04-18,Wood,778.413
2020-04-19,Gas,8967.019
2020-04-19,Geothermal,21952.431
2020-04-19,Hydro,46222.144
2020-04-19,Liquid fuel,0.0
2020-04-19,Wind,11242.126
2020-04-19,Wood,780.264
2020-04-20,Coal,2502.69
2020-04-20,Gas,8854.782
2020-04-20,Geothermal,21566.62
2020-04-20,Hydro,52992.976
2020-04-20,Liquid fuel,0.0
2020-04-20,Wind,8039.876
2020-04-20,Wood,684.073
2020-04-21,Coal,2299.797
2020-04-21,Gas,10296.01
2020-04-21,Geothermal,21471.31
2020-04-21,Hydro,60387.795
2020-04-21,Liquid fuel,0.0
2020-04-21,Wind,1935.664
2020-04-21,Wood,805.756
2020-04-22,Coal,2305.747
2020-04-22,Gas,10687.218
2020-04-22,Geothermal,21980.871
2020-04-22,Hydro,56593.449
2020-04-22,Liquid fuel,0.0
2020-04-22,Wind,4715.886
2020-04-22,Wood,475.083
2020-04-23,Coal,2915.811
2020-04-23,Gas,10509.687
2020-04-23,Geothermal,21954.516
2020-04-23,Hydro,57696.175
2020-04-23,Liquid fuel,0.0
2020-04-23,Wind,4952.688
2020-04-23,Wood,0.0
2020-04-24,Coal,2801.294
2020-04-24,Gas,10463.874
2020-04-24,Geothermal,21934.684
2020-04-24,Hydro,55395.83
2020-04-24,Liquid fuel,0.0
2020-04-24,Wind,5397.521
2020-04-24,Wood,0.0
2020-04-25,Gas,9908.471
2020-04-25,Geothermal,22088.539
2020-04-25,Hydro,48833.835
2020-04-25,Liquid fuel,0.0
2020-04-25,Wind,10046.177
2020-04-25,Wood,440.195
2020-04-26,Gas,10767.777
2020-04-26,Geothermal,22019.597
2020-04-26,Hydro,53616.875
2020-04-26,Liquid fuel,0.0
2020-04-26,Wind,4140.827
