date,site_code,reservoir,storage_mm3,storage_change_mm3_day,headwater_inflow_mm3_day,implied_total_outflow_mm3_day,hmd_spill_release_mm3_day,residual_controlled_release_mm3_day
1980-02-01,OHA,Lake Ohau,24.926,-6.752,12.096,18.848,0.0,18.848
1980-02-01,PKI,Lake Pukaki,2446.745,-13.065,22.033037,35.098037,36.308,-1.209963
1980-02-01,TAU,Lake Te Anau,825.198,-14.207,39.306038,53.513038,49.722,3.791038
1980-02-01,TKA,Lake Tekapo,619.07,-4.938,12.726374,17.664374,16.928,0.736374
1980-02-01,TPO,Lake Taupo,750.256,-7.375,11.093674,18.468674,20.042,-1.573326
1980-02-01,WKA,Lake Waikaremoana,151.557,-1.257,0.938909,2.195909,0.0,2.195909
1980-02-02,HWE,Lake Hawea,2306.018,-1.755,6.538925,8.293925,5.56,2.733925
1980-02-02,MAN,Lake Manapouri,503.264,5.806,9.203846,3.397846,41.137,-37.739154
1980-02-02,OHA,Lake Ohau,17.869,-7.057,11.3184,18.3754,0.0,18.3754
1980-02-02,PKI,Lake Pukaki,2438.973,-7.772,20.715091,28.487091,22.724,5.763091
1980-02-02,TAU,Lake Te Anau,810.503,-14.695,29.07697,43.77197,49.005,-5.23303
1980-02-02,TKA,Lake Tekapo,613.793,-5.277,11.380781,16.657781,16.79,-0.132219
1980-02-02,TPO,Lake Taupo,745.198,-5.058,11.431152,16.489152,15.964,0.525152
1980-02-02,WKA,Lake Waikaremoana,151.087,-0.47,0.55201,1.02201,0.0,1.02201
1980-02-03,HWE,Lake Hawea,2303.365,-2.653,6.945696,9.598696,5.56,4.038696
1980-02-03,MAN,Lake Manapouri,506.011,2.747,31.603565,28.856565,41.363,-12.506435
1980-02-03,OHA,Lake Ohau,10.566,-7.303,10.0224,17.3254,0.0,17.3254
1980-02-03,PKI,Lake Pukaki,2438.261,-0.712,20.018016,20.730016,21.9,-1.169984
1980-02-03,TAU,Lake Te Anau,799.551,-10.952,80.413085,91.365085,48.364,43.001085
