TimePeriod,Scenario,Sector,Variable,Status,Unit,Value
2009,Environmental,Residential,Electricity demand,Historical,TWh,12.954
2009,Environmental,Transport,Electricity demand,Historical,TWh,0.059
2009,Growth,Commercial,Electricity demand,Historical,TWh,8.933
2009,Growth,Industrial,Electricity demand,Historical,TWh,17.376
2009,Growth,Residential,Electricity demand,Historical,TWh,12.954
2009,Growth,Transport,Electricity demand,Historical,TWh,0.059
2009,Innovation,Commercial,Electricity demand,Historical,TWh,8.933
2009,Innovation,Industrial,Electricity demand,Historical,TWh,17.376
2009,Innovation,Residential,Electricity demand,Historical,TWh,12.954
2009,Innovation,Transport,Electricity demand,Historical,TWh,0.059
2009,Reference,Commercial,Electricity demand,Historical,TWh,8.933
2009,Reference,Industrial,Electricity demand,Historical,TWh,17.376
2009,Reference,Residential,Electricity demand,Historical,TWh,12.954
2009,Reference,Transport,Electricity demand,Historical,TWh,0.059
2010,Constraint,Commercial,Electricity demand,Historical,TWh,9.005
2010,Constraint,Industrial,Electricity demand,Historical,TWh,18.969
2010,Constraint,Residential,Electricity demand,Historical,TWh,12.54
2010,Constraint,Transport,Electricity demand,Historical,TWh,0.064
2010,Environmental,Commercial,Electricity demand,Historical,TWh,9.005
2010,Environmental,Industrial,Electricity demand,Historical,TWh,18.969
2010,Environmental,Residential,Electricity demand,Historical,TWh,12.54
2010,Environmental,Transport,Electricity demand,Historical,TWh,0.064
2010,Growth,Commercial,Electricity demand,Historical,TWh,9.005
2010,Growth,Industrial,Electricity demand,Historical,TWh,18.969
2010,Growth,Residential,Electricity demand,Historical,TWh,12.54
2010,Growth,Transport,Electricity demand,Historical,TWh,0.064
2010,Innovation,Commercial,Electricity demand,Historical,TWh,9.005
2010,Innovation,Industrial,Electricity demand,Historical,TWh,18.969
2010,Innovation,Residential,Electricity demand,Historical,TWh,12.54
2010,Innovation,Transport,Electricity demand,Historical,TWh,0.064
2010,Reference,Commercial,Electricity demand,Historical,TWh,9.005
2010,Reference,Industrial,Electricity demand,Historical,TWh,18.969
2010,Reference,Residential,Electricity demand,Historical,TWh,12.54
2010,Reference,Transport,Electricity demand,Historical,TWh,0.064
2011,Constraint,Commercial,Electricity demand,Historical,TWh,8.972
2011,Constraint,Industrial,Electricity demand,Historical,TWh,18.703
2011,Constraint,Residential,Electricity demand,Historical,TWh,12.592
2011,Constraint,Transport,Electricity demand,Historical,TWh,0.068
2011,Environmental,Commercial,Electricity demand,Historical,TWh,8.972
2011,Environmental,Industrial,Electricity demand,Historical,TWh,18.703
2011,Environmental,Residential,Electricity demand,Historical,TWh,12.592
2011,Environmental,Transport,Electricity demand,Historical,TWh,0.068
2011,Growth,Commercial,Electricity demand,Historical,TWh,8.972
2011,Growth,Industrial,Electricity demand,Historical,TWh,18.703
2011,Growth,Residential,Electricity demand,Historical,TWh,12.592
2011,Growth,Transport,Electricity demand,Historical,TWh,0.068
2011,Innovation,Commercial,Electricity demand,Historical,TWh,8.972
2011,Innovation,Industrial,Electricity demand,Historical,TWh,18.703
2011,Innovation,Residential,Electricity demand,Historical,TWh,12.592
2011,Innovation,Transport,Electricity demand,Historical,TWh,0.068
2011,Reference,Commercial,Electricity demand,Historical,TWh,8.972
2011,Reference,Industrial,Electricity demand,Historical,TWh,18.703
2011,Reference,Residential,Electricity demand,Historical,TWh,12.592
2011,Reference,Transport,Electricity demand,Historical,TWh,0.068
2012,Constraint,Commercial,Electricity demand,Historical,TWh,9.364
2012,Constraint,Industrial,Electricity demand,Historical,TWh,17.912
2012,Constraint,Residential,Electricity demand,Historical,TWh,12.641
2012,Constraint,Transport,Electricity demand,Historical,TWh,0.07
2012,Environmental,Commercial,Electricity demand,Historical,TWh,9.364
