TimePeriod,Scenario,Status,Unit,Value
2044,Constraint,Projected,TWh,52.413
2044,Environmental,Projected,TWh,66.115
2044,Growth,Projected,TWh,66.84
2044,Innovation,Projected,TWh,69.365
2044,Reference,Projected,TWh,59.155
2045,Constraint,Projected,TWh,52.691
2045,Environmental,Projected,TWh,66.622
2045,Growth,Projected,TWh,67.765
2045,Innovation,Projected,TWh,69.916
2045,Reference,Projected,TWh,59.742
2046,Constraint,Projected,TWh,52.941
2046,Environmental,Projected,TWh,67.098
2046,Growth,Projected,TWh,68.635
2046,Innovation,Projected,TWh,70.436
2046,Reference,Projected,TWh,60.289
2047,Constraint,Projected,TWh,53.163
2047,Environmental,Projected,TWh,67.543
2047,Growth,Projected,TWh,69.458
2047,Innovation,Projected,TWh,70.924
2047,Reference,Projected,TWh,60.799
2048,Constraint,Projected,TWh,53.369
2048,Environmental,Projected,TWh,67.972
2048,Growth,Projected,TWh,70.261
2048,Innovation,Projected,TWh,71.395
2048,Reference,Projected,TWh,61.291
2049,Constraint,Projected,TWh,53.485
2049,Environmental,Projected,TWh,68.299
2049,Growth,Projected,TWh,70.968
2049,Innovation,Projected,TWh,71.764
2049,Reference,Projected,TWh,61.678
2050,Constraint,Projected,TWh,53.593
2050,Environmental,Projected,TWh,68.604
2050,Growth,Projected,TWh,71.672
2050,Innovation,Projected,TWh,72.11
2050,Reference,Projected,TWh,62.056
