TimePeriod,Status,Value,Variable,Unit,Scenario
1999,Historical,145851,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Environmental
2000,Historical,152000,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Environmental
2001,Historical,155832,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Environmental
2002,Historical,163162,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Environmental
2003,Historical,170385,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Environmental
2004,Historical,178637,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Environmental
2005,Historical,184384,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Environmental
2006,Historical,189571,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Environmental
2007,Historical,196216,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Environmental
2008,Historical,195515,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Environmental
2009,Historical,193335,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Environmental
2010,Historical,196650,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Environmental
2011,Historical,200169,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Environmental
2012,Historical,205203,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Environmental
2013,Historical,209961,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Environmental
2014,Historical,217869,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Environmental
2015,Historical,225790,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Environmental
2016,Historical,234698,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Environmental
2017,Historical,242552,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Environmental
2018,Historical,251033,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Environmental
2019,Historical,258763,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Environmental
2020,Historical,255219,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Environmental
2021,Historical,269408,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Environmental
2022,Historical,275851,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Environmental
2023,Historical,277547,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Environmental
2024,Projected,285968,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Environmental
2025,Projected,293431,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Environmental
2026,Projected,302170.5,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Environmental
2027,Projected,310347.584,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Environmental
2028,Projected,317972.297,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Environmental
2029,Projected,325292.737,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Environmental
