TimePeriod,Scenario,Sector,Unit,Value,Variable,Status
2008,Reference,Transport,Gross PJ,192.043,Total energy demand,Historical
2009,Constraint,Commercial,Gross PJ,47.918,Total energy demand,Historical
2009,Constraint,Industrial,Gross PJ,191.35,Total energy demand,Historical
2009,Constraint,Residential,Gross PJ,80.12,Total energy demand,Historical
2009,Constraint,Transport,Gross PJ,189.147,Total energy demand,Historical
2009,Environmental,Commercial,Gross PJ,47.918,Total energy demand,Historical
2009,Environmental,Industrial,Gross PJ,191.35,Total energy demand,Historical
2009,Environmental,Residential,Gross PJ,80.12,Total energy demand,Historical
2009,Environmental,Transport,Gross PJ,189.147,Total energy demand,Historical
2009,Growth,Commercial,Gross PJ,47.918,Total energy demand,Historical
2009,Growth,Industrial,Gross PJ,191.35,Total energy demand,Historical
2009,Growth,Residential,Gross PJ,80.12,Total energy demand,Historical
2009,Growth,Transport,Gross PJ,189.147,Total energy demand,Historical
2009,Innovation,Commercial,Gross PJ,47.918,Total energy demand,Historical
2009,Innovation,Industrial,Gross PJ,191.35,Total energy demand,Historical
2009,Innovation,Residential,Gross PJ,80.12,Total energy demand,Historical
2009,Innovation,Transport,Gross PJ,189.147,Total energy demand,Historical
2009,Reference,Commercial,Gross PJ,47.918,Total energy demand,Historical
2009,Reference,Industrial,Gross PJ,191.35,Total energy demand,Historical
2009,Reference,Residential,Gross PJ,80.12,Total energy demand,Historical
2009,Reference,Transport,Gross PJ,189.147,Total energy demand,Historical
2010,Constraint,Commercial,Gross PJ,48.443,Total energy demand,Historical
2010,Constraint,Industrial,Gross PJ,201.201,Total energy demand,Historical
2010,Constraint,Residential,Gross PJ,77.846,Total energy demand,Historical
2010,Constraint,Transport,Gross PJ,192.68,Total energy demand,Historical
2010,Environmental,Commercial,Gross PJ,48.443,Total energy demand,Historical
2010,Environmental,Industrial,Gross PJ,201.201,Total energy demand,Historical
